YEAR,MONTH,DAY,TENTHS,MM,IN
1950,4,3,0,0,0
1950,4,4,102,10.2,0.401574803
1950,4,5,145,14.5,0.570866142
1950,4,6,0,0,0
1950,4,7,0,0,0
1950,4,8,0,0,0
1950,4,9,0,0,0
1950,4,10,0,0,0
1950,4,11,0,0,0
1950,4,12,0,0,0
1950,4,13,0,0,0
1950,4,14,0,0,0
1950,4,15,0,0,0
1950,4,16,0,0,0
1950,4,17,0,0,0
1950,4,18,8,0.8,0.031496063
1950,4,19,0,0,0
1950,4,20,0,0,0
1950,4,21,0,0,0
1950,4,22,0,0,0
1950,4,23,0,0,0
1950,4,24,0,0,0
1950,4,25,38,3.8,0.149606299
1950,4,26,0,0,0
1950,4,27,0,0,0
1950,4,28,0,0,0
1950,4,29,0,0,0
1950,4,30,0,0,0
1950,5,1,0,0,0
1950,5,2,61,6.1,0.24015748
1950,5,3,315,31.5,1.24015748
1950,5,4,0,0,0
1950,5,5,0,0,0
1950,5,6,0,0,0
1950,5,7,0,0,0
1950,5,8,0,0,0
1950,5,9,0,0,0
1950,5,10,0,0,0
1950,5,11,0,0,0
1950,5,12,0,0,0
1950,5,13,30,3,0.118110236
1950,5,14,196,19.6,0.771653543
1950,5,15,0,0,0
1950,5,16,0,0,0
1950,5,17,0,0,0
1950,5,18,0,0,0
1950,5,19,0,0,0
1950,5,20,0,0,0
1950,5,21,0,0,0
1950,5,22,0,0,0
1950,5,23,0,0,0
1950,5,24,0,0,0
1950,5,25,20,2,0.078740157
1950,5,26,0,0,0
1950,5,27,0,0,0
1950,5,28,46,4.6,0.181102362
1950,5,29,122,12.2,0.480314961
1950,5,30,0,0,0
1950,5,31,18,1.8,0.070866142
1950,6,1,0,0,0
1950,6,2,0,0,0
1950,6,3,0,0,0
1950,6,4,259,25.9,1.019685039
1950,6,5,0,0,0
1950,6,6,0,0,0
1950,6,7,0,0,0
1950,6,8,709,70.9,2.791338583
1950,6,9,274,27.4,1.078740157
1950,6,10,102,10.2,0.401574803
1950,6,11,0,0,0
1950,6,12,0,0,0
1950,6,13,0,0,0
1950,6,14,0,0,0
1950,6,15,0,0,0
1950,6,16,0,0,0
1950,6,17,0,0,0
1950,6,18,0,0,0
1950,6,19,0,0,0
1950,6,20,0,0,0
1950,6,21,30,3,0.118110236
1950,6,22,0,0,0
1950,6,23,0,0,0
1950,6,24,0,0,0
1950,6,25,0,0,0
1950,6,26,0,0,0
1950,6,27,66,6.6,0.25984252
1950,6,28,0,0,0
1950,6,29,25,2.5,0.098425197
1950,6,30,0,0,0
1950,7,1,168,16.8,0.661417323
1950,7,2,0,0,0
1950,7,3,135,13.5,0.531496063
1950,7,4,0,0,0
1950,7,5,117,11.7,0.460629921
1950,7,6,155,15.5,0.61023622
1950,7,7,0,0,0
1950,7,8,0,0,0
1950,7,9,0,0,0
1950,7,10,0,0,0
1950,7,11,145,14.5,0.570866142
1950,7,12,208,20.8,0.818897638
1950,7,13,15,1.5,0.059055118
1950,7,14,826,82.6,3.251968504
1950,7,15,58,5.8,0.228346457
1950,7,16,30,3,0.118110236
1950,7,17,0,0,0
1950,7,18,0,0,0
1950,7,19,0,0,0
1950,7,20,0,0,0
1950,7,21,8,0.8,0.031496063
1950,7,22,5,0.5,0.019685039
1950,7,23,0,0,0
1950,7,24,429,42.9,1.688976378
1950,7,25,28,2.8,0.11023622
1950,7,26,267,26.7,1.051181102
1950,7,27,86,8.6,0.338582677
1950,7,28,0,0,0
1950,7,29,0,0,0
1950,7,30,0,0,0
1950,7,31,0,0,0
1950,8,1,0,0,0
1950,8,2,0,0,0
1950,8,3,0,0,0
1950,8,4,0,0,0
1950,8,5,119,11.9,0.468503937
1950,8,6,0,0,0
1950,8,7,0,0,0
1950,8,8,0,0,0
1950,8,9,0,0,0
1950,8,10,0,0,0
1950,8,11,0,0,0
1950,8,12,0,0,0
1950,8,13,0,0,0
1950,8,14,0,0,0
1950,8,15,0,0,0
1950,8,16,91,9.1,0.358267717
1950,8,17,0,0,0
1950,8,18,211,21.1,0.830708661
1950,8,19,0,0,0
1950,8,20,0,0,0
1950,8,21,0,0,0
1950,8,22,0,0,0
1950,8,23,0,0,0
1950,8,24,0,0,0
1950,8,25,76,7.6,0.299212598
1950,8,26,36,3.6,0.141732283
1950,8,27,8,0.8,0.031496063
1950,8,28,0,0,0
1950,8,29,0,0,0
1950,8,30,56,5.6,0.220472441
1950,8,31,104,10.4,0.409448819
1950,9,1,117,11.7,0.460629921
1950,9,2,0,0,0
1950,9,3,0,0,0
1950,9,4,0,0,0
1950,9,5,0,0,0
1950,9,6,0,0,0
1950,9,7,345,34.5,1.358267717
1950,9,8,208,20.8,0.818897638
1950,9,9,81,8.1,0.318897638
1950,9,10,0,0,0
1950,9,11,0,0,0
1950,9,12,43,4.3,0.169291339
1950,9,13,0,0,0
1950,9,14,0,0,0
1950,9,15,0,0,0
1950,9,16,0,0,0
1950,9,17,0,0,0
1950,9,18,0,0,0
1950,9,19,0,0,0
1950,9,20,0,0,0
1950,9,21,0,0,0
1950,9,22,18,1.8,0.070866142
1950,9,23,0,0,0
1950,9,24,0,0,0
1950,9,25,0,0,0
1950,9,26,0,0,0
1950,9,27,0,0,0
1950,9,28,0,0,0
1950,9,29,0,0,0
1950,9,30,0,0,0
1950,10,1,0,0,0
1950,10,2,0,0,0
1950,10,3,0,0,0
1950,10,4,0,0,0
1950,10,5,0,0,0
1950,10,6,0,0,0
1950,10,7,0,0,0
1950,10,8,0,0,0
1950,10,9,30,3,0.118110236
1950,10,10,0,0,0
1950,10,11,0,0,0
1950,10,12,0,0,0
1950,10,13,0,0,0
1950,10,14,0,0,0
1950,10,15,0,0,0
1950,10,16,0,0,0
1950,10,17,0,0,0
1950,10,18,0,0,0
1950,10,19,290,29,1.141732283
1950,10,20,597,59.7,2.350393701
1950,10,21,0,0,0
1950,10,22,48,4.8,0.188976378
1950,10,23,5,0.5,0.019685039
1950,10,24,0,0,0
1950,10,25,0,0,0
1950,10,26,0,0,0
1950,10,27,0,0,0
1950,10,28,0,0,0
1950,10,29,0,0,0
1950,10,30,0,0,0
1950,10,31,0,0,0
1950,11,1,0,0,0
1950,11,2,0,0,0
1950,11,3,0,0,0
1950,11,4,71,7.1,0.279527559
1950,11,5,0,0,0
1950,11,6,0,0,0
1950,11,7,0,0,0
1950,11,8,0,0,0
1950,11,9,0,0,0
1950,11,10,0,0,0
1950,11,11,0,0,0
1950,11,12,0,0,0
1950,11,13,0,0,0
1950,11,14,0,0,0
1950,11,15,0,0,0
1950,11,16,0,0,0
1950,11,17,0,0,0
1950,11,18,0,0,0
1950,11,19,0,0,0
1950,11,20,38,3.8,0.149606299
1950,11,21,0,0,0
1950,11,22,5,0.5,0.019685039
1950,11,23,0,0,0
1950,11,24,10,1,0.039370079
1950,11,25,0,0,0
1950,11,26,0,0,0
1950,11,27,0,0,0
1950,11,28,0,0,0
1950,11,29,0,0,0
1950,11,30,0,0,0
1950,12,1,0,0,0
1950,12,2,0,0,0
1950,12,3,61,6.1,0.24015748
1950,12,4,119,11.9,0.468503937
1950,12,5,0,0,0
1950,12,6,0,0,0
1950,12,7,782,78.2,3.078740157
1950,12,8,0,0,0
1950,12,9,18,1.8,0.070866142
1950,12,10,0,0,0
1950,12,11,0,0,0
1950,12,12,0,0,0
1950,12,13,0,0,0
1950,12,14,5,0.5,0.019685039
1950,12,15,0,0,0
1950,12,16,0,0,0
1950,12,17,0,0,0
1950,12,18,0,0,0
1950,12,19,0,0,0
1950,12,20,0,0,0
1950,12,21,0,0,0
1950,12,22,0,0,0
1950,12,23,0,0,0
1950,12,24,0,0,0
1950,12,25,0,0,0
1950,12,26,0,0,0
1950,12,27,0,0,0
1950,12,28,36,3.6,0.141732283
1950,12,29,168,16.8,0.661417323
1950,12,30,5,0.5,0.019685039
1950,12,31,0,0,0
1951,1,1,0,0,0
1951,1,2,0,0,0
1951,1,3,0,0,0
1951,1,4,10,1,0.039370079
1951,1,5,0,0,0
1951,1,6,0,0,0
1951,1,7,127,12.7,0.5
1951,1,8,0,0,0
1951,1,9,0,0,0
1951,1,10,0,0,0
1951,1,11,10,1,0.039370079
1951,1,12,0,0,0
1951,1,13,28,2.8,0.11023622
1951,1,14,5,0.5,0.019685039
1951,1,15,112,11.2,0.440944882
1951,1,16,5,0.5,0.019685039
1951,1,17,0,0,0
1951,1,18,0,0,0
1951,1,19,18,1.8,0.070866142
1951,1,20,0,0,0
1951,1,21,0,0,0
1951,1,22,0,0,0
1951,1,23,5,0.5,0.019685039
1951,1,24,46,4.6,0.181102362
1951,1,25,0,0,0
1951,1,26,0,0,0
1951,1,27,0,0,0
1951,1,28,0,0,0
1951,1,29,0,0,0
1951,1,30,33,3.3,0.12992126
1951,1,31,18,1.8,0.070866142
1951,2,1,74,7.4,0.291338583
